german,translation
… die ich soeben passiert hatte,которую я только что проходил
Von + D eingerahmt werden,быть окружённым чем-то…
Weder … noch,ни… ни…
Sich schieben (o; o),"подбираться, толкаться"
Sich bis dicht an + A heran schieben,подбираться вплотную к …
Vernehmen (a; o),услышать
Vervolgen (te; t) ihren Weg,проследовать\проследить за его движением
Prächtig,величественный
Sich aus + D erheben (a; o),возвышаться из …
Über + D thronen (te; t),возвышаться над …
Während dieser Reise,во время этого путешествия
Überfallen (ie; a),охватывать
überfiel mich ein prickelndes Gefühl der Freude,меня охватило острое чувство радости
Schon lange nicht mehr empfinden (a; u),уже давно более не испытывал
Längst vergangene Tage,давно прошедшие дни
Die Unbekümmertheit meiner Jugend,беззаботность моей юности
Mit + D verknüpft (te; t) werden,быть связанным с …
Selbst der Wind,даже сам ветер
Besänftigend,успокаювающе
Flüstern (te; t),шептать
Bitten (a; e) nicht länger zu trauern,просить больше не печалиться
Verlieren (o; o) an Kraft,утратить свою силу
Beruhigende Wirkung,успокаивающее воздействие
Erneut,снова
Leiden (i; i) under dem Kummer,страдать от печали
"Sich trüben Betrachtungen hingeben (a, e)",предаваться\отдаваться унылым
"Antreiben (ie, ie)",подгонять\погонять
In dem Bemühen … zu …,в попытке сделать что-то
Vor allem,прежде всего
Zu Boden gleiten (i; i),сползти на землю
Das Gewicht des Grauens/der Verzweiflung,вес ужаса\отчаяния
Weit weg,далеко
Hinab,вниз (вода течёт вниз)
Folgen + D,следовать за …
Übergroß/übermäßig/extrem,чрезмерный
Die Müdigkeit,усталость
Völlig,"полный, тотальный"
Die Erschöpfung,истощение
Ich blieb einen Augenblick stehen,я на мгновение остановился
Das Quartier,"жильё, квартира"
Umzucken (te; t) A,сверкать вокруг
Lauschen (te; t) + D,"прислушиваться к, подслушивать"
Das Rauschen,шум
Fosend,c грохотом
Das Geräusch,звуки
Wirken (te; t) auf + A,действовать на
Überreizt,переутомлён
Das Wiegenlied,колыбельная
Kaum,едва
Betten (te; t),укладывать спать
Auch schon,тут же
Spüren (te; t),чувствовать
Segnen (te; t),благославлять
Der Spender des Vergessens,даритель забвения
Durchstreifen (te; t; неотделяемая приставка),"бродить, прогуливаться"
Hervorsprudeln (te; t),"вытекать, бить ключом"
Herunter,вниз
Drohen (te; t),угрожать
Versperren (te; t),перекрыть
Die Quelle (n),исток
Verweilen (te; t) an + D,задержаться у …
Hängen (i; a) über + A,висеть над
Vor mir,передо мной
Ringsum,вокруг
Zerschmettern (te; t),"разбивать, сокрушать"
Die Kiefer (n),сосна
Unterbrechen (o; o),"прерывать, перебивать"
Wiederhallend,гремящий
Das Krachen,треск
Das Zusammenwirken unverändlicher Naturgesetze,взаимодействие неизменных
Zerbrechen (o; o),ломаться
Zersprengen (te; t),"разрываться, взрываться"
Größten Trost,величайшее утешение
Kleinmütig,беспокойный
Verdränden (te; t),вытеснять
In gewissen Grenzen,"до известного предела, в известной степени"
Ablenken (te; t),отвлекать
Quälend,мучительный
Peinigen (te; t),терзать
Des Nachts,"по ночам, в ночной час"
Kahl,"лысый, голый (например, лес), скудный"
Der Adler,орёл
Sich aufschwingen (a; u),взмыть
Entfliehen (o; o),"исчезнуть, сбежать"
Trüben (te; t),омрачать
Gießen,лить
"Der Strom, in Stromen","поток, потоками"
Dicht,густой
Der Dunst (Dünste),туман
Der Schwaden,облако
Verhüllen (te; t),окутывать
Der Schleier,завеса
Durchstoßen (ie; o) + A,прорываться через что-то
Aufsuchen (te; t),отыскать
Durchpulsen (te; t),пронизывать
Das Entzücken,восторг
Verleihen (te; t),даровать
Düster,мрачный
Tatsächlich,"на самом деле, actually"
Das Gemüt (er),настроение
Der Anblick (e),вид
Vergänglich,преходящий
Irdisch,земной
Beschließen (o; o),решать
Sich auf den Weg machen,отправляться
Mit D wohl vertraut sein,быть с чем-то хорошо знакомым
Außerdem,кроме того
Die Anwesenheit,присутствие
Schteil,крутой
Vorankommen (a; o),продвигаться вперёд
Wohingehen,в то время как
Zerbersten (o; o),раскалывать
Umknicken (te; t),"сгибать, ломать"
In unablässigem Strom,в непрерывном потоке
Schleudern (te; t) die Vernichtigung,привести к гибели
Die Strenge,"строгость, суровость"
Gegenüberliegend,противоположный
Verschwinden (a; u),исчезать
Die Umgebung,окружение
Sich rühmen (te; t) + D,"хвастаться, хвалиться"
Beschränken (te; t) auf A,ограничивать
Der Trieb (e),инстинкт
Von D umhergetrieben werden,управляться с чем-то
Der Felsen,скала
Breietn (te; t),расстилать
Der Windstoß,порыв ветра
Ähneln (te; t) + D,напоминать кого-то
Das aufgewühlten Meer,бурное море
Senken (te; t),спускать
Die Überquerung der Strecke,пересечение расстояния
Ungefähr,примерно
Auf A starren (te; t),уставиться на
Atemberaubend,"захватывающий, breathtaking"
"…, oder vielmehr …",… или скорее …
Funkeln (te; t),сверкать
Die Herzen drohen (te; t) vor Kummer zu bersten (а; o),сердца угрожают лопнуть от горя
Umherstreifen (te; t),"блуждать, странствовать"
Das enge Grab (Gräbe),узкая могила
Gönnen (te; t),даровать
Der Gefährte (n),спутник
In der Ferne,вдалеке
Sich nähern (te; t),приближаться
Setzen (te; t),перескакивать
Der Riss (e),трещина
Sein von Schwäche befallen (ie; a),быть охваченным слабостью
Das elende Ungeheuer,жалкое чудовище
Voller Entsetzen,в ужасе
Der Kampf auf Leben und Tod,борьба на жизнь и смерть
Zittern (te; t) von D,дрожать от
Die Wut,ярость
Das Grauen,страх
Entdecken (te; t),обнаруживать
Die Verachtung,презрение
Die Boshaftigkeit,злоба
"Nur deshalb, um … zu",только для того чтобы
Der Hass,ненависть
Der Abscheu,отвращение
Wagen (te; t),осмеливаться
Die Rache,месть
In den Staub trampeln (te; t),растоптать в прах
Das arme Opfer,несчастная жертва
Meucheln (te; t),тайно убивать
Zum Leben erwecken (te; t),возвращать к жизни
Der Empfang (Empfänge),приём
Gefasst sein auf A,быть готовым к
Erwildern (te; t),"возражать, отвечать"
Verabscheuen (te; t),"ненавидеть, чувствовать отвращение"
Lösen (te; t),"решать, разрешать, разгадывать"
Derart,"так, таким образом (например, как можно так себя вести?)"
Die Pflicht (en),долг
Die Pflicht D gegenüber erfüllen (te; t),исполнять перед кем-то долг
Einwilligen (te; t),соглашаться
Sich weigern (te; t),отказываться
Die Qualen der Hölle,муки ада
Leichtvertig,неосторожно
Ehe,прежде чем
Ausweichen (ie; ie) + D,"уклоняться, уворачиваться"
Erwidern (te; t),отвечать
Verteidigen (te; t),защищать
Hinreßen (i; i),соблазнять
Gehorsam,послушный
Gelehrig,прилежный
Auf D gerecht sein,быть справедливым к
Es mir gebührt,"мне это по праву принадлежит, я этого заслуживаю"
Die Seligkeit,блаженство
Um mich herum,вокруг меня
Der Verächter,ненавистник
Das Elend,страдание
Tugendhaft,добродетельный
Untergehen (a; a),"погибнуть, пасть в бою"
Rühren (te; t),"тронуть, пошевелить"
Bewegen (te; t) zu D,побужать к
Die Güte,доброта
Das Mitleid,сострадание
Erstrahlen (te; t),"светиться, сиять"
Die Zuflucht (en),прибежище
Missgönnen (te; t),завидовать
Er ist mir freundlich gesinnt,он ко мне дружелюбно настроен
Sich zu … aufmachen (te; t),"отправиться на что-то, на учёбу, например"
Die Beziehung,отношение
In D Macht liegen (te; t),быть в чьих-то силах
Umstimmen (te; t),"переубедить, убедить"
Das Übel,зло
Von D befreien (te; t),освободить от
"Je nachdem …,",в зависимости от того..
G bezichtigen (te; t),обвинять кого-то
Etw ruhigen Gewissens machen,делать что-то с чистой совестью
Gelobt sei,да будет прославлен
Anflehen (te; t) zu schonen (te; t),умолять пощадить
Zurückdenken (a; a) an A,вспоминать
"Verflucht sei der Tag, an dem …","да будет проклят тот день, когда"
Über alle Maßen,"до крайности, до предела"
Sogleich,сразу же
"Auf meinen Schultern ruht die Entscheidung darüber, ob",на моих плечах лежит решение
Aufgrund G,"по причине …, из-за …"
"…, die Ich einst besaß, ..",которые я когда-то имел
Ungewöhnlich,необычный
Bisher,до сих пор
Die Bestätigung oder Widerlegung dieser Meinung,подтверждение или опровержение
Beklagen (te; t) über A,жаловаться на …
"D nachgeben (a, e)",подчиниться
Niedergeschlagen,подавленный
Schweren Herzens,c тяжёлым сердцем
An wen soll ich mich wenden (a; e),к кому мне обратиться
Die Umbuchung,rebooking
Melden (te; t),report
Bewahren (te; t),сохранять
Einen Notreisepass ausstellen (te; t),issue an emerging pass
Einen Reisepass beantragen (te; t),apply for a pass
In Empfang,на выдаче
Die Gepäckausgabe,выдача багажа
Das Gepäckband,лента выдачи багажа
Beschädigen (te; t),"наносить ущерб, портить"
Die Verlustmeldung aufgeben (a; e),уведомлять о потере
Auf diese Weise,таким образом
Es ist D gelungen (gelingen (a; u)),удалось кому-то
Laut D,согласно
In derartigen Höhen,на таких высотах
Weshalb,"по этой причине, which is why"
Mittels + G,"by means of, with the help of"
Ersinnen (a; o) = erfinden (a; u),изобретать
Kannst du mich beraten?,можешь мне посоветовать?
"Anbieten (a, e)","предлагать что-то на выбор, offer"
Einheimisch,local
Das Nackenkissen,шейная подушка
Der Kopfhöhrer,наушник
Die Ohrstopsel / Ohrenstöpsel,"беруша, беруши"
Der Knast / Das Gefängnis / Die Strafanstalt,тюрьма
Der Häftling (e) / Die Insassen,"заключённый, заключённые"
Beeinträchtigen (te; t),мешать
Jetzt anderweitig genutzt,сейчас используется по-другому
Die Bretzel,брецель
Der Windbeutel,попушка с кремом
Das Plätzchen,печенье с шоколадом
Der Zopf,сладкий хлеб
Der Krapfen,пышка с вареньем
Die Schnecke,улитка
Der Leberkäse,печёночный “хлеб”
Die Teewurst,"паштет, завёрнутый, как колбаса"
Die Roulade,рулет
Das Filet,филе
Genügen (te; t),быть достаточным
Beschlagnahmen (te; t),конфисковать
Die Wünsche erfüllen (te; t),исполнять мечты
Diesen oder jenen,this one or that one
"Derjenige, der","тот, кто"
Dieselbe Aufgabe,то же задание
bezüglich + G,"касательно …, regarding …"
Die Entscheidung bezüglich unserer Pflichten,решение о наших обязательствах
Trotz + G,несмотря на
Anstatt + G,вместо
laut/gemäß,согласно
Während + G / im Verlauf von + D,во время
dank/aufgrund + G,"благодаря, по причине"
Wegen + G,ввиду…
Die Auswirkung (en) von D auf A,"последствия, эффект"
Übernehmen (a; o),"перенять, to do assuming responsibility"
Gruselig,"spooky, gruesome"
Von Angesicht zu Angesicht,"лицом к лицу, с глазу на глаз"
Ungelenk,"clumsy, awkward"
Die Anzeigetafel (n),доска с объявлениями
Die Ansage (n),объявление
Das Sparangebot (e),скидка
Eine Karte besitzen (a; a),обладать картой
Am Fenster oder am Gang,у окна или у прохода
Größtmögliche Anzahl,наибольшее возможное число
Vorsehen / vorhaben die Absicht haben / etwas beabsichtigen,планировать
Es könnte noch eine Weile dauern,это могло бы ещё сколько-то длиться
Zweistündige Verspätung,двухчасовое опоздание
Ich werde es ihr ausrichten,я это ей сообщу\передам
Sich eintragen (u; a),регистрироваться
Vorausgesezt = nur wenn; angenommen = falls,в случае если / когда
Der Entwurf (Entwürfe),"драфт, прототип"
Der Reiz an D,"стимул, интерес в"
Was ist der Reiz für dich daran? Wohin liegt der Reiz für dich?,в чём твой интерес?
"In die Tat umsetzen (te, t)","implement, put into action"
Entlassen (i; a),увольнять
Verschieben (o; o),"postpone, reschedule"
Tapezieren (te; t),клеить обои
Am auffäligsten,больше всего выделяется
Pflanzenfressend,травоядный
Abgelegener Ort = mitten im Nichts,у чёрта на куличиках
Ins Schwärmen geraten sein,"одуреть от энтузиазма, очень обрадоваться"
Von etw Wind bekomment,"узнать о чём-то, может через слухи"
Allergisch gegen,аллергия на
Die Unverträglichkeit (en),непереносимость
Die Tische zusammenscheiben (o; o),сдвинуть столы
Zusätzlich,дополнительный
Bislang,доселе
Wärst du so freundlich mich ihm vorzustellen?,мог бы ты меня представить?
Der Dienstreise,командировка
Die Geschwindigkeit überschreiten (i; i),превышать скорость
Die Unterkunft,"временное жильё, пристанище"
Ist .. im Preis inbegriffen,включено в стоимость
Sich nach D erkundigen (te; t),о чём-то осведомиться
Großartig = eindrucksvoll = faszinierend = ausgezeichnet,замечательный
Ich bin auf der Suche nach,я в поиске …
Ich habe in wenigen Minuten ein,у меня через несколько минут …
Die Stärken und Schwächen,сильные и слабые стороны
"Es macht mir Freude, anderen behilflich zu sein",мне доставляет радость быть полезным
Erwartungen bezüglich des Gehaltes,ожидания от зарплаты
"Probleme vermeiden (ie, ie)",избегать проблемы (предотвратить)
Umgehen (i; a),"обходиться, управляться"
Einstellen (te; t),брать на работу
kündigen (te; t),увольняться
"Das kommt darauf an, inwiefern …","это зависит от того, насколько\каким образом"
Umformulieren (te; t),переформулировать
Zu dieser Frage möchte Ich mich nicht äußern,этот вопрос я бы предпочёл не
Zu meinen politischen Ansichten möchte Ich keine Angabe machen,я бы предпочёл не
Die in … gelegenen Höhlen,расположенные в .. пещерах
Hervorheben (o; o),"выделять, подсвечивать"
Erscheinen (ie; ie),"казаться, появляться"
Befördert werden,получить повышение
Einarbeiten (te; t),"вводить в курс дела, подготавливать к чему-то"
"Deadlines einhalten (te,; t)",соблюдать дедлайны
Einnahmen steigern (te; t),увеличивать доходы
Lückenlose Anwesenheit,посещение без пропусков
Zuverlässig,надёжный
Das Selbstbewusstsein,"уверенность в себе, самосознание"
Unerfahren,неопытный
"Zerbröckeln (te; t), zerfallen (ie; a)","крошиться, разрушаться"
Der weitere Verlauf des Prozesses,дальнейшее протекание процесса
Die Eigenschaften,качества
Der Wohnungsmangel,дефицит жилья
Verschärfen (te; t),"обостряться, усугубляться"
Gravierend,"очень серьёзный (например, проблема)"
Ungefähr 1 Minute in Anspruch nehmen,примерно занимать одну минуту
Der Eignungstest,тест на профпригодность
Der Fragebogen,"опросник, анкета"
Das Allgemeinwissen,кругозор
Die Menge,"узобилие, куча, масса, уйма"
Annehmen (a; o),"принимать предложение о работе, продполагать"
Freie Wildbahn,"дикая природа, свобода"
Promovieren (te; t),идти в аспирантуру
Der Zwischenstopp / Die Zwischenlandung,пересадка
Die Gelegenheit = Die Möglichkeit,возможность
Die Hotelausstattung,"оборудование, удобства в отеле"
Von + D Gebrauch machen,воспользоваться …
Zunehmen (a; o),"увеличиваться, также набирать вес"
Die Vereinbarkeit = Die Kompatibilität,совместимость
Die Erwerbstätigkeit,занятость
Rundum versichert,полностью застрахован (кругом застрахован)
Die Einweihung,официальное открытие
"Der Abriss, abreßen (i; i)","снос, сносить (дом)"
Der Beichtstuhl,исповедальня
Das Weihwasser,святая вода
Der (Burg/Schloss)graben,"ров, канава"
Die Kamenate,"большая, отапливаемая комната в крепости"
Der Rittersaal,рыцарский зал
Die Zugbrücke,подъёмный мост
Streicheln (te; t),"гладить (собаку), ласкать, приголубливать"
Schärfen (te; t),"заточить, обострять, оттачивать"
Das Roggenbrot,ржаной хлеб
Der Bienenstich,"“пчелиный укус”, немецкий тортик"
Der Mohnkuchen,маковый пирог
Der Berliner,пишка с джемом внутри
Der Lachsschinken,карбонад красного цвета (поэтому называется как лосось)
Die Getreide,злаки
Aussterben (a; o),вымирать
Die Herausforderung,"вызов, трудность, испытание"
Schmackhaft,вкусный
Zart,нежный
Fad,пресный
Säuerlich,кисловатый
Wässrig,водянистый
Allerdings = dennoch,"впрочем, однако, тем не менее"
Welche Kräuter eignen sich zum Kochen mit …,"подходят, сгодятся"
Die Verzierung,"украшение, декор"
"Erbauen (te; t), errichten (te; t)",возводить
Sich auszeichnen (te; t) durch A,"выделяться, отличаться"
Der Adel,"дворяне, дворянство"
Die Aufklärung,просвещение (эпоха в том числе)
"Der Vorbehalte, Das Bedenken","сомнения, оговорки, предубеждения, недоверие"
Verzögern (te; t),"замедлять, откладывать"
"Der Beweis (e), Der Nachweis (e), Die Bescheinigung (en)",доказательство
Der Befehl (e),"приказ, команда"
Die Farbtöne sind gut aufeinander abgestimmt,цвета хорошо сочетаются
Naturgetreu darstellen (te; t),естественно изображать
Der Inbegriff von D/G,воплощение
sagenhaft = unglaublich,баснословный
Veranschaulichen (te; t),наглядно объяснять
Sich mit D auseinandersetzen (te; t),подробно разбираться с чем-то
Anspruchsvoll,"требовательный, сложный, требует много ресурсов"
Die Auffassung vertreten (a; e),придерживаться мнения
Sich bewähren (te; t),"проявить себя, оправдать себя"
Im Rahmen von D,в рамках чего-то (было сделано что-то)
Sich + A aneignen (te; t),усваивать что-то
Auf A Wert legen (a; e),придавать чему-то значение
Unversichtbar,"необходимый, заменимый"
Im Gegensatz zu D,в отличие от …
Die Voraussetzung für A,"предпосылка, условие"
Verbergen (a; o),"прятать,"
sich verbergen,прятаться
Absichtlich,"по плану, специально, deliberately, intentionally"
Zumindest,"как минимум, at least"
Nach bisherigem Wissensstand,согласно нынешним знаниям
Größtenteils,по большей части
Mit dem bloßen Auge,невооружённым взглядом
Es steht noch in den Sternen,"неясно, неопределено, “звёзды покажут, случится или"
Verwenden (te; t),"использовать, utilize, employ"
Die Büroartikel,канцтовары
Die Abteilung,"секция, специально выделенное место (например рабочие столы со"
Ausschöpfen (te; t),"использовать полностью, в полную силу"
Veralten (te; t),устаревать
Selbstverständlich,Само собой
Nirgendwo,нигде
Erfolgen (te; t),"happen, occur, take place"
Der Betrag,"сумма, количество, цена, деньги"
Sich Gehör verschaffen = sich merkbar machen,стать услышанным
Heikel,"сложный, деликатный, щекотливый (о темах для разговора)"
Bevorzugen (te; t),предпочитать
Sich zu D bereit erklären (te; t),соглашаться
Wenn Ich an deiner Stelle wäre,будь я на твоём месте
Auf längere Sicht gesehen kann Ich,в долгосрочной перспективе
"Um ehrlich zu sein, bin Ich der Ansicht","честно говоря, я считаю.."
Zum einen.. Zum anderen..,во-первых … к тому же
Befürchten (te; t),опасаться
Mittlerweile,"сейчас, между тем"
Es ist vollkommen …,это совершенно\абсолютно\вполне
Es gehört sich (nicht),так (не)положено
Zurückziehen (o; o),"отпуступать, закрываться (в отношениях)"
Aushandeln (te; t),"договариваться, обсуждать"
Im Vergleich zu damals würde heute,"в сравнении с тогдашним, сейчас"
Vermutlich; vermuten,"предположительно, вероятно ; предполагать"
"… es liegt daran, dass","… это потому, что…"
für jdn Verständnis haben,to have understanding for someone
jdm Vorwürfe machen,to make accusations/reproaches to someone
zu jdm Kontakt aufnehmen,to get in touch with someone
an seine Grenzen stoßen (ie; o + sein),to reach one's limits
jdm einen Gefallen tun,to do someone a favor
auf jdn Rücksicht nehmen,to show consideration for someone
jdm Geborgenheit geben,to give someone a sense of security
Die Besorgung,"der Einkauf von benötigen Produkten; дело, поручение"
Der Umbruch,"eine starke, grundsätzliche Veränderung; потрясение, разрыр, перелом"
Die Kompromissbereitschaft,готовность к компромиссу
Die Erledigung,das Erfüllen einer Aufgabe
Der Pate / Die Patin,"крёстный отец, крёстная"
Mit etwas rechnen,"etwas erwarten, be alert with smth"
Vererben (te; t),"наследовать, завещать"
Ausdrücken (te; t),выражать
Vorwurfsvoll,"укоризненный, с упрёком"
Veränderbar,изменяемый
Verweisen auf A (ie; ie),указывать на
Offensichtlich,"очевидный, явный"
Der Streit um A,спор о
Der Kumpel,"приятель, братан"
Der Blödsinn,чушь
"Von außen betrachtet, …","со стороны (смотря со стороны), со стороны кажется, что.."
Wirken auf A als,казаться кому-то таким-то
Sich … vorkommen,казаться таким-то
Sämtlich,"любой, каждый"
Ausstrahlen (te; t) = nach außen zeigen,"излучать (например, уверенность)"
Verdeutlichen (te; t),"разъяснять, прояснять"
Staunen = sich wundern,"изумляться, удивляться"
Bewundern an D,удивляться чему-то
Begreifen (i; i),осознать
Übertrieben eilig (чрезвычайно поспешный) = hektisch,хаотичный
Geeignet =begabt = talentiert,"одарённый, талантливый"
Intelligent = klug = schlau != dumm,"умный, смышлёный"
Cool = ruhig = gelassen = lässig,"размеренный, спокойный"
Gerade = aufrecht (прямо),прямо
Ehrgeizig,"амбициозный, целеустремлённый"
Entschlossen,решительный
Übereinstimmen (te; t) in D,совпадать в
Von Natur aus,"по своей природе, от природы"
Zurückführen auf A,"сводиться к, связывать с"
Entlarven (te; t),"разоблачать, раскрывать"
Der Betrüger = Der Hochstapler,"мошенник, самозванец, аферист, жулик"
Die Leistungsbereitschaft,"целеустремлённость, готовность приложить свои умения для"
Kennzeichnen (te; gekennzeichnet) A,"помечать, маркировать, обозначать"
Die Gebärdensprache,sign language
Ein Beispiel für … wäre,примером .. был бы
Angesichts + G (e.g. dieser Beobachtungen),"принимая во внимание, с учётом, в свете"
"Es wird davon ausgegangen, dass","предполагается, что"
Mangels + G,"в отсутствие, за неимением"
Die Herkunft,происхождение
Erwähnen (te; t),"упоминать, отмечать"
Gewissenhaft,добросовестный
Das Wurzeln,корни (прямой и переносный смысл)
Anders ausgedrückt,"иначе говоря, иными словами"
Zumal,"особенно учитывая, тем более что"
Es kommt/geht über die Lippen,"что-то произносится, слетает с губ"
Umgekehrt …,"наоборот, с другой стороны, напротив, (также обратно)"
Anlässig + G,по случаю (e.g. др)
Die Studien belegen/beweisen,"исследования показывают, утверждают"
Mithilfe von Studien konnte man die Annahme bestätigen,при помощи исследований
Das sieht man daran dass… / das zeigt sich daran,that’s how you can tell that …
Daher,"поэтому, таким образом"
Unter D versteht man,"под … понимается, имеется в виду"
Es kann als … rüberkommen (a; o) *trennbar* = es kann den Eindruck vermitteln,может
Verknüpft sein mit D,быть связанным с
Erlernen (te; t),"осваивать, выучивать, научиться"
Der Befragte,опрашиваемый
Pflichtbewusst,сознающий свой долг
Entsprechen (a; o) + D,соответствовать
Anpassen (te; t) an A,приспосабливаться к
Der Zorn,"гнев, ярость"
Eine These aufstellen,выдвинуть гипотезу
"Die These vertreten, dass","встречать гипотезу, что"
Eine These untermauern (te; t),"подкреплять, подтверждать"
Sich an D zeigen,указывать на
Ewig,"вечный, навеки, навсегда"
"Wir stimmen darin überein, dass","мы в этом похожи, что.."
Würdest du mir dein Problem genauer schildern,можешь чётче описать проблему
"Beschreib mir ganz konkret, um welche Verstöße/Schwierigkeiten es geht",опиши
Wollte mich bei dir erkundigen/informieren,хотел у тебя поинтересоваться
Das scheint mir nicht geeignet,мне не кажется это подходящим
"Es ist bedauerlich / besorgniserregend / nicht akzeptabel, dass",это это досадно / внушает
Es besteht ein Missverständnis / Diskrepanz zwischen,существует недопонимание /
Ich beobachte eine zunehmende Belastung der/des,"я вижу нарастающий стресс,"
Vernünftig,"благоразумно, разумно, здраво"
Heimlich,"тайком, втихаря, втайне"
Schleichen (i; i),"прокрасться, пробраться"
Ein paarmal,пару раз
Im Falle einer Notlage,в случае неотложного дела
Schüchtern,"застенчивый, скромный"
Rücksicht nehmen,"учитывать, be mindful of"
Hilfe leisten,оказывать помощь
"Ich bin der Überzeugung, dass","я убеждён, что"
Auf A Wert legen,придавать значение
Verantwortung tragen,нести ответственность
Ergebnisse erzielen,достичь результата
Erwartungen erfüllen,"оправдывать ожидания, удовлетворять ожидания"
In Eile sein,спешить
Ich schweife ab (abschweifen (te;t) ),I got carried away (by some thoughts)
Das steht außer Frage = das ist zweifellos so,that’s for sure
Verzichten (te; t) auf A,"обходиться без, отказаться от"
Stehen zur Verfügung = sind da,"находятся в расположении, готовы к услугам, готовы к"
Stellen Anforderungen an = haben Ansprüche an,предъявлять требования
Für mich besteht ein Zusammenhang zwischen … und.. Weil,мне кажется между .. есть
"Daran sieht man, dass etw mit etw direkt / eng / unmittelbar zusammenhängt",one can see
Etw geht oft mit etw einher,"встречается вместе с, сопровождается чем-то (einhergehen"
Gewiss,"воистину, несомненно / Sicher / Zweifellos / Ganz bestimmt"
"Alles deutet darauf hin / alle Anzeichen sprechen dafür, dass",всё указывает на
"Es lässt vermuten, dass","можно предположить, это позволяет предположить"
Es ist anzunehmen / zu erwarten / damit zu rechnen,можно сделать предположение /
"Aller Wahrscheinlichkeit nach, = Höchstwahrscheinlich",судя по всему
Es ist denkbar / vorstellbar,"можно подумать, представить"
Angewiesen sein auf A,"зависеть от, полагаться на"
Herumstehen,"стоять, простаивать, стоять на одном месте (долго мы тут ещё будет"
Der Ansatz (# Lösungsansatz),"метод, подход"
"Stoßen (ie, o) auf A","пить за что-тo, либо наткнуться на что-то (auf Wiederstand,"
Schwierigkeiten,"на сопротивление, на сложности)"
Tagtäglich,"ежедневно, каждый божий день"
"Übersehen (a, e) (untrennbar)","упустить, проглядеть"
Der Anspruch (ü_e),"право, претензия, притязание"
Die Anforderung (en),"требование, запрос"
"der Arm, (e)",рука (от плеча до кисти)
"der Ellenbogen / Ellbogen,",локоть
"die Hand, (","̈e) – кисть руки, рука (как часть тела)"
"die Handfläche, (n)",ладонь
das Knie,колено
"der Kopf, (",̈e) – голова
"der Nacken,","затылок, шея (задняя часть)"
"der Oberkörper,","верхняя часть туловища, корпус"
"der Oberschenkel,",бедро (верхняя часть ноги)
die Schulter (n) (,) плечо
Das Schulterblatt (,̈er) - лопатка
"der Unterschenkel,",голень (нижняя часть ноги)
"der Brustkorb, (e)",грудная клетка
der Sauerstoff (в контексте),кислород
Aufeinanderlegen (a; e),сложить/положить друг на друга
Ausschütteln (te; t),"встряхнуть, расслабить встряхиванием"
Beugen (te; t),сгибать
Dehnen (te; t),растягивать
Kreisen (te; t),вращать (по кругу)
Lockern (te; t),"расслаблять, разминать"
Neigen (te; t),наклонять
sinken lassen (ie; a),"позволить опуститься, расслабленно опустить"
Strecken (te; t),"вытягивать, растягивать"
Verschränken (te; t),"сцепить, переплести"
